Rank,Team,S,W-L,Digs,Per Set
1,Wright St. (Horizon),108,24-5,"2,120",19.63
2,Bradley (MVC),119,15-15,"2,242",18.84
3,Charlotte (C-USA),112,16-15,"2,067",18.46
4,Evansville (MVC),117,16-14,"2,146",18.34
5,Fordham (Atlantic 10),106,12-14,"1,931",18.22
6,SMU (AAC),106,18-10,"1,919",18.10
7,Western Caro. (SoCon),113,17-13,"2,039",18.04
8,Indiana St. (MVC),103,7-21,"1,846",17.92
9,UNI (MVC),126,24-10,"2,257",17.91
10,Louisiana (Sun Belt),110,14-16,"1,967",17.88
11,Bowling Green (MAC),120,19-12,"2,132",17.77
12,Houston Baptist (Southland),118,17-15,"2,095",17.75
13,Central Mich. (MAC),109,21-8,"1,928",17.69
14,SFA (Southland),111,31-1,"1,962",17.68
15,Kent St. (MAC),113,14-15,"1,997",17.67
16,Southern Ill. (MVC),134,14-18,"2,368",17.67
17,Loyola Maryland (Patriot),122,13-18,"2,152",17.64
18,Northern Ky. (Horizon),120,19-12,"2,107",17.56
19,Ball St. (MAC),123,20-11,"2,158",17.54
20,Green Bay (Horizon),114,21-9,"1,997",17.52
21,Winthrop (Big South),106,24-4,"1,855",17.50
22,Cal St. Fullerton (Big West),100,12-15,"1,744",17.44
23,Army West Point (Patriot),116,22-10,"2,021",17.42
24,Milwaukee (Horizon),119,26-6,"2,071",17.40
25,Rice (C-USA),101,26-3,"1,754",17.37
26,Valparaiso (MVC),127,14-20,"2,190",17.24
27,Cleveland St. (Horizon),108,8-19,"1,859",17.21
28,Tulsa (AAC),115,15-15,"1,962",17.06
29,Eastern Mich. (MAC),106,11-17,"1,807",17.05
30,Eastern Ky. (OVC),99,9-21,"1,686",17.03
31,Oakland (Horizon),108,15-14,"1,826",16.91
32,Idaho St. (Big Sky),115,7-23,"1,940",16.87
33,Canisius (MAAC),123,15-16,"2,068",16.81
34,Robert Morris (NEC),107,25-5,"1,798",16.80
35,North Texas (C-USA),109,17-11,"1,831",16.80
36,Miami (OH) (MAC),103,17-11,"1,729",16.79
37,Southern Miss. (C-USA),102,3-26,"1,711",16.77
38,UIC (Horizon),116,20-11,"1,943",16.75
39,Illinois St. (MVC),129,22-11,"2,143",16.61
40,Drake (MVC),125,9-22,"2,074",16.59
41,Portland St. (Big Sky),111,10-19,"1,841",16.59
42,Southeast Mo. St. (OVC),126,23-10,"2,089",16.58
43,South Dakota (Summit League),104,27-2,"1,723",16.57
44,SIUE (OVC),112,14-15,"1,852",16.54
45,Fairfield (MAAC),107,24-5,"1,768",16.52
46,Central Conn. St. (NEC),117,15-15,"1,932",16.51
47,Stetson (ASUN),103,12-15,"1,698",16.49
48,Northwestern St. (Southland),116,20-12,"1,912",16.48
49,Northern Ariz. (Big Sky),124,21-11,"2,041",16.46
50,Akron (MAC),103,16-12,"1,695",16.46
51,Minnesota (Big Ten),95,22-5,"1,562",16.44
52,Sam Houston St. (Southland),127,18-13,"2,081",16.39
53,Weber St. (Big Sky),119,24-8,"1,949",16.38
54,Loyola Chicago (MVC),124,21-11,"2,028",16.35
55,Rhode Island (Atlantic 10),95,8-18,"1,551",16.33
56,Niagara (MAAC),105,13-16,"1,712",16.30
57,Morehead St. (OVC),115,23-9,"1,872",16.28
58,La Salle (Atlantic 10),105,15-13,"1,708",16.27
59,Towson (CAA),103,28-2,"1,669",16.20
60,UNC Asheville (Big South),90,13-13,"1,454",16.16
61,Bucknell (Patriot),102,14-14,"1,645",16.13
62,Oklahoma (Big 12),108,19-8,"1,739",16.10
63,Ohio (MAC),119,18-13,"1,913",16.08
64,Tulane (AAC),123,21-10,"1,976",16.07
65,Quinnipiac (MAAC),114,14-16,"1,829",16.04
66,Austin Peay (OVC),118,11-20,"1,890",16.02
67,Sacred Heart (NEC),117,20-11,"1,873",16.01
68,St. Francis Brooklyn (NEC),119,14-17,"1,904",16.00
69,Youngstown St. (Horizon),101,8-21,"1,613",15.97
70,Temple (AAC),92,12-15,"1,469",15.97
71,Murray St. (OVC),114,19-11,"1,819",15.96
72,Saint Peter's (MAAC),109,3-27,"1,739",15.95
73,Duquesne (Atlantic 10),94,10-17,"1,498",15.94
74,Oral Roberts (Summit League),123,8-23,"1,959",15.93
75,Rider (MAAC),115,15-16,"1,825",15.87
76,San Francisco (WCC),108,8-21,"1,712",15.85
77,Arizona St. (Pac-12),124,17-14,"1,963",15.83
78,Butler (Big East),115,14-16,"1,819",15.82
79,La.-Monroe (Sun Belt),112,12-20,"1,770",15.80
80,UCF (AAC),114,24-7,"1,793",15.73
81,Saint Louis (Atlantic 10),112,17-12,"1,760",15.71
82,Georgia St. (Sun Belt),105,10-17,"1,645",15.67
83,East Carolina (AAC),113,19-11,"1,770",15.66
84,Purdue Fort Wayne (Summit League),124,18-14,"1,942",15.66
85,Sacramento St. (Big Sky),130,14-18,"2,035",15.65
86,A&M-Corpus Christi (Southland),117,19-12,"1,830",15.64
87,High Point (Big South),114,20-12,"1,778",15.60
88,Nevada (Mountain West),114,17-13,"1,774",15.56
89,Grand Canyon (WAC),116,24-6,"1,805",15.56
90,FGCU (ASUN),108,27-5,"1,680",15.56
91,Montana St. (Big Sky),112,15-14,"1,742",15.55
92,Xavier (Big East),99,10-17,"1,538",15.54
93,North Dakota St. (Summit League),112,13-16,"1,738",15.52
94,Ohio St. (Big Ten),114,15-17,"1,769",15.52
95,Arkansas St. (Sun Belt),116,17-13,"1,799",15.51
96,Dartmouth (Ivy League),89,10-15,"1,379",15.49
97,Presbyterian (Big South),103,15-15,"1,595",15.49
98,Creighton (Big East),99,24-5,"1,533",15.48
99,Ole Miss (SEC),117,14-15,"1,811",15.48
100,Eastern Wash. (Big Sky),113,6-24,"1,749",15.48
101,Iowa St. (Big 12),104,17-11,"1,608",15.46
102,Col. of Charleston (CAA),102,7-21,"1,577",15.46
103,Marshall (C-USA),101,18-10,"1,561",15.46
104,Western Mich. (MAC),112,14-14,"1,729",15.44
105,Tennessee Tech (OVC),112,13-17,"1,728",15.43
106,Marquette (Big East),115,27-5,"1,773",15.42
107,Toledo (MAC),108,9-19,"1,664",15.41
108,Notre Dame (ACC),112,19-9,"1,725",15.40
109,Furman (SoCon),109,7-20,"1,676",15.38
110,Cornell (Ivy League),86,17-6,"1,320",15.35
111,Kennesaw St. (ASUN),112,22-8,"1,719",15.35
112,Marist (MAAC),115,15-15,"1,765",15.35
113,Iona (MAAC),101,5-23,"1,550",15.35
114,Tennessee St. (OVC),104,12-17,"1,594",15.33
115,Ga. Southern (Sun Belt),101,7-20,"1,548",15.33
116,Louisiana Tech (C-USA),103,13-15,"1,577",15.31
117,Pacific (WCC),120,13-17,"1,837",15.31
118,Washington St. (Pac-12),114,22-9,"1,745",15.31
119,Houston (AAC),137,16-16,"2,093",15.28
120,Chicago St. (WAC),119,5-26,"1,818",15.28
121,UT Arlington (Sun Belt),118,18-13,"1,801",15.26
122,Stanford (Pac-12),100,24-4,"1,521",15.21
123,Memphis (AAC),110,17-11,"1,672",15.20
124,Fairleigh Dickinson (NEC),98,4-26,"1,486",15.16
125,Bethune-Cookman (MEAC),118,8-24,"1,789",15.16
126,Holy Cross (Patriot),111,5-25,"1,682",15.15
127,Morgan St. (MEAC),114,17-13,"1,727",15.15
128,Southern Utah (Big Sky),116,15-16,"1,756",15.14
129,Colgate (Patriot),111,22-7,"1,680",15.14
130,Nicholls St. (Southland),106,11-16,"1,598",15.08
130,Nebraska (Big Ten),106,25-4,"1,598",15.08
130,Eastern Ill. (OVC),106,3-26,"1,598",15.08
133,Portland (WCC),107,11-18,"1,611",15.06
134,IUPUI (Horizon),115,7-22,"1,730",15.04
135,DePaul (Big East),121,14-16,"1,820",15.04
136,North Dakota (Summit League),113,12-18,"1,697",15.02
137,Northern Colo. (Big Sky),128,26-7,"1,919",14.99
138,American (Patriot),115,24-7,"1,721",14.97
139,Campbell (Big South),108,17-13,"1,616",14.96
140,UTSA (C-USA),108,16-13,"1,614",14.94
141,Lipscomb (ASUN),105,16-13,"1,569",14.94
142,Providence (Big East),111,6-24,"1,657",14.93
143,San Jose St. (Mountain West),107,10-19,"1,597",14.93
144,Wisconsin (Big Ten),97,22-6,"1,447",14.92
145,Little Rock (Sun Belt),95,6-22,"1,417",14.92
146,Baylor (Big 12),86,25-1,"1,282",14.91
147,UConn (AAC),104,12-16,"1,550",14.90
148,Central Ark. (Southland),124,16-14,"1,848",14.90
149,Florida St. (ACC),100,19-9,"1,489",14.89
150,N.C. Central (MEAC),123,8-24,"1,831",14.89
151,Kansas St. (Big 12),113,9-19,"1,682",14.88
152,Cincinnati (AAC),111,25-6,"1,651",14.87
153,McNeese (Southland),106,11-17,"1,575",14.86
154,California (Pac-12),113,20-10,"1,678",14.85
155,UCLA (Pac-12),96,18-11,"1,424",14.83
156,Kentucky (SEC),104,23-6,"1,542",14.83
157,UNC Greensboro (SoCon),97,10-17,"1,438",14.82
158,Samford (SoCon),115,24-5,"1,704",14.82
159,UC Santa Barbara (Big West),98,22-5,"1,452",14.82
159,UAB (C-USA),98,12-15,"1,452",14.82
161,Idaho (Big Sky),124,13-18,"1,836",14.81
162,Princeton (Ivy League),87,17-7,"1,287",14.79
163,Oregon (Pac-12),113,9-20,"1,671",14.79
164,Wichita St. (AAC),105,9-19,"1,552",14.78
165,NC State (ACC),123,11-19,"1,818",14.78
166,Texas Tech (Big 12),116,17-13,"1,714",14.78
167,New Orleans (Southland),111,13-18,"1,638",14.76
168,Arizona (Pac-12),117,15-17,"1,723",14.73
169,Siena (MAAC),111,11-18,"1,632",14.70
170,FIU (C-USA),103,10-16,"1,514",14.70
171,Seton Hall (Big East),114,8-24,"1,673",14.68
172,Oregon St. (Pac-12),122,9-22,"1,789",14.66
173,Hawaii (Big West),104,24-3,"1,525",14.66
174,Prairie View (SWAC),136,17-21,"1,994",14.66
175,George Mason (Atlantic 10),97,4-22,"1,420",14.64
176,Mississippi St. (SEC),114,13-17,"1,668",14.63
177,Villanova (Big East),112,22-9,"1,637",14.62
178,Liberty (ASUN),109,19-11,"1,592",14.61
179,Auburn (SEC),103,7-22,"1,504",14.60
179,Pittsburgh (ACC),103,29-1,"1,504",14.60
181,Santa Clara (WCC),115,20-11,"1,675",14.57
182,Northeastern (CAA),108,15-14,"1,573",14.56
183,Chattanooga (SoCon),115,7-23,"1,671",14.53
184,Southeastern La. (Southland),118,14-17,"1,713",14.52
185,LIU (NEC),105,12-17,"1,523",14.50
186,CSU Bakersfield (WAC),114,9-19,"1,653",14.50
187,UC Riverside (Big West),101,6-22,"1,462",14.48
188,Lamar University (Southland),94,9-17,"1,360",14.47
189,Western Ky. (C-USA),110,31-1,"1,590",14.45
190,South Dakota St. (Summit League),107,6-22,"1,546",14.45
191,Virginia Tech (ACC),121,11-20,"1,748",14.45
192,West Virginia (Big 12),108,12-17,"1,560",14.44
193,Wyoming (Mountain West),111,21-8,"1,600",14.41
194,Yale (Ivy League),83,15-8,"1,195",14.40
195,Pepperdine (WCC),114,18-11,"1,641",14.39
196,Kansas City (WAC),107,17-11,"1,540",14.39
197,UMBC (America East),88,7-16,"1,266",14.39
198,Lehigh (Patriot),109,14-17,"1,566",14.37
199,Texas St. (Sun Belt),114,24-8,"1,637",14.36
200,South Fla. (AAC),113,7-23,"1,619",14.33
201,Tennessee (SEC),108,15-13,"1,547",14.32
202,Jacksonville St. (OVC),106,20-10,"1,517",14.31
203,Bryant (NEC),113,15-17,"1,617",14.31
204,The Citadel (SoCon),111,9-20,"1,587",14.30
205,Brown (Ivy League),87,13-10,"1,242",14.28
206,Middle Tenn. (C-USA),117,13-17,"1,669",14.26
207,Omaha (Summit League),129,19-14,"1,839",14.26
208,Georgia Tech (ACC),106,21-8,"1,511",14.25
209,Georgia (SEC),107,20-9,"1,525",14.25
210,George Washington (Atlantic 10),100,15-14,"1,423",14.23
211,Stony Brook (America East),96,9-17,"1,366",14.23
212,LSU (SEC),102,15-13,"1,451",14.23
213,Alabama A&M (SWAC),111,18-14,"1,579",14.23
214,N.C. A&T (MEAC),112,16-14,"1,590",14.20
215,Florida (SEC),106,25-4,"1,504",14.19
216,Abilene Christian (Southland),93,7-19,"1,318",14.17
217,Washington (Pac-12),114,24-5,"1,615",14.17
218,Appalachian St. (Sun Belt),116,13-17,"1,642",14.16
219,Utah (Pac-12),124,22-9,"1,753",14.14
220,North Florida (ASUN),126,15-18,"1,781",14.13
221,New Hampshire (America East),98,17-9,"1,385",14.13
222,UT Martin (OVC),118,13-19,"1,667",14.13
223,Purdue (Big Ten),111,22-7,"1,568",14.13
223,Navy (Patriot),111,17-12,"1,568",14.13
225,Manhattan (MAAC),115,8-23,"1,624",14.12
226,Fresno St. (Mountain West),104,14-16,"1,468",14.12
227,Boise St. (Mountain West),107,18-11,"1,508",14.09
228,Dayton (Atlantic 10),111,22-8,"1,563",14.08
229,Montana (Big Sky),112,7-23,"1,577",14.08
230,Fla. Atlantic (C-USA),100,16-11,"1,407",14.07
231,Long Beach St. (Big West),105,12-16,"1,477",14.07
232,Hampton (Big South),95,8-17,"1,335",14.05
233,South Alabama (Sun Belt),119,20-11,"1,672",14.05
234,Radford (Big South),95,10-16,"1,332",14.02
235,New Mexico St. (WAC),105,27-3,"1,470",14.00
236,ETSU (SoCon),122,25-6,"1,705",13.98
237,Jacksonville (ASUN),116,10-21,"1,620",13.97
238,San Diego (WCC),105,24-5,"1,466",13.96
239,Elon (CAA),129,14-18,"1,801",13.96
240,Davidson (Atlantic 10),105,10-18,"1,465",13.95
241,Illinois (Big Ten),113,16-13,"1,573",13.92
242,Gonzaga (WCC),110,11-19,"1,529",13.90
243,Missouri St. (MVC),125,10-22,"1,737",13.90
244,Troy (Sun Belt),113,22-9,"1,570",13.89
245,Clemson (ACC),104,11-17,"1,444",13.88
246,Duke (ACC),110,11-19,"1,527",13.88
247,Hofstra (CAA),111,17-12,"1,539",13.86
248,UNCW (CAA),117,14-15,"1,614",13.79
249,Boston College (ACC),124,20-11,"1,710",13.79
250,CSUN (Big West),108,12-16,"1,489",13.79
251,LMU (CA) (WCC),110,14-15,"1,515",13.77
252,Belmont (OVC),108,2-29,"1,486",13.76
253,UTRGV (WAC),117,14-17,"1,608",13.74
254,UNLV (Mountain West),121,19-10,"1,660",13.72
255,Northern Ill. (MAC),110,8-22,"1,505",13.68
256,Iowa (Big Ten),115,10-21,"1,573",13.68
257,North Carolina (ACC),107,15-13,"1,463",13.67
258,USC Upstate (Big South),101,7-19,"1,380",13.66
259,Florida A&M (MEAC),106,9-18,"1,448",13.66
260,Air Force (Mountain West),114,8-22,"1,556",13.65
261,Utah Valley (WAC),113,11-19,"1,542",13.65
262,Jackson St. (SWAC),126,17-19,"1,717",13.63
263,Texas Southern (SWAC),94,10-16,"1,279",13.61
264,James Madison (CAA),93,20-8,"1,265",13.60
265,Penn St. (Big Ten),98,24-4,"1,333",13.60
266,Wofford (SoCon),116,15-16,"1,573",13.56
267,St. John's (NY) (Big East),115,22-11,"1,559",13.56
268,Columbia (Ivy League),93,12-12,"1,259",13.54
269,New Mexico (Mountain West),115,11-19,"1,556",13.53
270,Northwestern (Big Ten),118,14-18,"1,596",13.53
271,Hartford (America East),109,16-13,"1,471",13.50
272,Seattle U (WAC),120,13-18,"1,619",13.49
273,Indiana (Big Ten),126,14-19,"1,698",13.48
274,Ark.-Pine Bluff (SWAC),124,10-24,"1,670",13.47
275,Grambling (SWAC),109,8-24,"1,467",13.46
276,Penn (Ivy League),82,11-10,"1,103",13.45
277,Delaware (CAA),104,15-14,"1,397",13.43
278,Michigan (Big Ten),112,20-10,"1,501",13.40
279,Georgetown (Big East),122,13-19,"1,635",13.40
280,Wake Forest (ACC),105,14-15,"1,404",13.37
281,San Diego St. (Mountain West),110,15-14,"1,469",13.35
282,Southern California (Pac-12),126,17-13,"1,681",13.34
283,Virginia (ACC),107,13-18,"1,426",13.33
284,Texas A&M (SEC),110,21-7,"1,465",13.32
285,Colorado St. (Mountain West),105,29-1,"1,398",13.31
286,Cal Poly (Big West),102,20-8,"1,358",13.31
287,Denver (Summit League),114,23-8,"1,516",13.30
288,Alabama (SEC),105,12-17,"1,396",13.30
289,Lafayette (Patriot),125,13-19,"1,658",13.26
290,Saint Mary's (CA) (WCC),106,11-17,"1,398",13.19
291,Alabama St. (SWAC),139,17-21,"1,832",13.18
292,Howard (MEAC),118,20-12,"1,552",13.15
293,South Carolina (SEC),106,19-11,"1,388",13.09
294,Mercer (SoCon),114,14-16,"1,491",13.08
295,Colorado (Pac-12),106,13-17,"1,382",13.04
296,Texas (Big 12),85,21-3,"1,108",13.04
297,Western Ill. (Summit League),107,6-23,"1,391",13.00
298,William & Mary (CAA),97,7-20,"1,260",12.99
299,Gardner-Webb (Big South),84,3-22,"1,089",12.96
300,Coppin St. (MEAC),114,13-18,"1,475",12.94
301,Albany (NY) (America East),96,16-10,"1,238",12.90
302,Buffalo (MAC),119,13-17,"1,529",12.85
303,BYU (WCC),106,25-4,"1,360",12.83
304,VCU (Atlantic 10),108,24-6,"1,385",12.82
305,TCU (Big 12),93,9-17,"1,192",12.82
306,Louisville (ACC),105,19-9,"1,345",12.81
307,Kansas (Big 12),96,9-17,"1,228",12.79
308,UC Irvine (Big West),105,5-23,"1,340",12.76
309,Michigan St. (Big Ten),110,15-15,"1,400",12.73
310,Syracuse (ACC),91,11-13,"1,158",12.73
311,Arkansas (SEC),113,11-19,"1,437",12.72
312,Saint Francis (PA) (NEC),93,3-25,"1,182",12.71
313,Charleston So. (Big South),103,14-15,"1,307",12.69
314,UC Davis (Big West),108,17-12,"1,363",12.62
315,Norfolk St. (MEAC),86,2-23,"1,080",12.56
316,Missouri (SEC),104,21-7,"1,306",12.56
317,Delaware St. (MEAC),110,11-18,"1,376",12.51
318,UTEP (C-USA),106,13-15,"1,319",12.44
319,UIW (Southland),114,7-23,"1,414",12.40
320,UMES (MEAC),127,12-19,"1,558",12.27
321,Coastal Carolina (Sun Belt),116,24-6,"1,422",12.26
322,Mississippi Val. (SWAC),108,4-30,"1,319",12.21
323,Alcorn (SWAC),102,7-23,"1,233",12.09
324,Miami (FL) (ACC),102,10-16,"1,228",12.04
325,Harvard (Ivy League),88,5-18,"1,058",12.02
326,Maryland (Big Ten),127,13-19,"1,523",11.99
327,Rutgers (Big Ten),105,8-23,"1,254",11.94
328,Southern U. (SWAC),108,10-20,"1,284",11.89
329,Utah St. (Mountain West),108,2-28,"1,259",11.66
330,NJIT (ASUN),110,1-31,"1,273",11.57
331,Binghamton (America East),74,0-23,822,11.11
332,South Carolina St. (MEAC),77,0-25,726,9.43