week_end_date,actual_deaths,maximum_expected_deaths,baseline
1/14/17,61114,60527,0
1/21/17,59444,60801,0
1/28/17,58186,60619,0
2/4/17,58537,60387,0
2/11/17,59162,60181,0
2/18/17,58591,59946,0
2/25/17,58398,59498,0
3/4/17,57359,59150,0
3/11/17,57597,58775,0
3/18/17,56789,58479,0
3/25/17,57161,58106,0
4/1/17,55829,57433,0
4/8/17,55267,56928,0
4/15/17,54976,56530,0
4/22/17,53168,56183,0
4/29/17,53404,55639,0
5/6/17,52754,54774,0
5/13/17,52082,54369,0
5/20/17,52574,54061,0
5/27/17,51100,53852,0
6/3/17,51370,53435,0
6/10/17,51525,53141,0
6/17/17,50933,53000,0
6/24/17,51326,53092,0
7/1/17,50742,53055,0
7/8/17,51091,52972,0
7/15/17,50122,52882,0
7/22/17,50241,52882,0
7/29/17,49493,52927,0
8/5/17,50210,52817,0
8/12/17,50364,52758,0
8/19/17,50303,52717,0
8/26/17,49659,52871,0
9/2/17,50960,53066,0
9/9/17,51111,53177,0
9/16/17,51820,53313,0
9/23/17,51353,53665,0
9/30/17,51467,54055,0
10/7/17,52235,54483,0
10/14/17,51703,54937,0
10/21/17,52357,55176,0
10/28/17,52672,55388,0
11/4/17,53837,55661,0
11/11/17,53384,56032,0
11/18/17,53920,56476,0
11/25/17,54225,57217,0
12/2/17,54903,57703,0
12/9/17,55746,58372,0
12/16/17,57537,58762,0
12/23/17,59671,59435,0
12/30/17,61265,60255,0
1/6/18,66339,61267,0
1/13/18,67664,61880,0
1/20/18,64820,62436,0
1/27/18,62922,62082,0
2/3/18,61124,61858,0
2/10/18,61244,61639,0
2/17/18,59931,61454,0
2/24/18,57954,61185,0
3/3/18,56829,60775,0
3/10/18,57244,60370,0
3/17/18,56462,59955,0
3/24/18,55912,59473,0
3/31/18,55045,58799,0
4/7/18,55420,58225,0
4/14/18,55354,57589,0
4/21/18,54157,57199,0
4/28/18,53849,56642,0
5/5/18,53885,55983,0
5/12/18,52216,55439,0
5/19/18,50739,55126,0
5/26/18,51055,54895,0
6/2/18,51162,54479,0
6/9/18,52123,54131,0
6/16/18,51514,53971,0
6/23/18,51221,53971,0
6/30/18,51004,54030,0
7/7/18,51812,53866,0
7/14/18,51337,53693,0
7/21/18,50741,53803,0
7/28/18,50422,53712,0
8/4/18,50799,53971,0
8/11/18,51130,53725,0
8/18/18,50423,53775,0
8/25/18,50577,54101,0
9/1/18,50757,54099,0
9/8/18,50429,54507,0
9/15/18,51215,54626,0
9/22/18,51713,54778,0
9/29/18,51105,55284,0
10/6/18,52486,55383,0
10/13/18,51983,55697,0
10/20/18,53113,56186,0
10/27/18,53881,56298,0
11/3/18,53767,56500,0
11/10/18,53692,57110,0
11/17/18,54820,57378,0
11/24/18,54998,57839,0
12/1/18,55210,58498,0
12/8/18,56095,59055,0
12/15/18,56530,59884,0
12/22/18,56688,60870,0
12/29/18,56164,61847,0
1/5/19,58461,62599,0
1/12/19,58506,64024,0
1/19/19,58362,64199,0
1/26/19,58031,64213,0
2/2/19,58276,63293,0
2/9/19,58650,63161,0
2/16/19,58116,62626,0
2/23/19,58132,62228,0
3/2/19,58080,61687,0
3/9/19,58665,61162,0
3/16/19,58033,60696,0
3/23/19,57214,60232,0
3/30/19,56772,59579,0
4/6/19,56710,59190,0
4/13/19,55641,58520,0
4/20/19,54584,57961,0
4/27/19,53767,57407,0
5/4/19,54118,56677,0
5/11/19,53611,56254,0
5/18/19,53676,55818,0
5/25/19,53822,55390,0
6/1/19,52856,55189,0
6/8/19,53292,54943,0
6/15/19,52789,55037,0
6/22/19,52423,55032,0
6/29/19,52316,54846,0
7/6/19,52498,54703,0
7/13/19,52070,54306,0
7/20/19,51800,54388,0
7/27/19,51800,54341,0
8/3/19,51542,54210,0
8/10/19,51849,54100,0
8/17/19,51121,54103,0
8/24/19,51141,54242,0
8/31/19,51291,54499,0
9/7/19,51953,54637,0
9/14/19,51741,54866,0
9/21/19,51905,54975,0
9/28/19,52879,55344,0
10/5/19,52680,55712,0
10/12/19,53217,56076,0
10/19/19,54435,56617,0
10/26/19,54154,56707,0
11/2/19,54206,56915,0
11/9/19,55801,57278,0
11/16/19,56030,57814,0
11/23/19,56326,58155,0
11/30/19,55591,58970,0
12/7/19,57415,59248,0
12/14/19,57789,59898,0
12/21/19,57575,60455,0
12/28/19,58615,61536,0
1/4/20,60103,61900,0
1/11/20,60660,62496,0
1/18/20,59276,62541,0
1/25/20,59033,62606,0
2/1/20,58655,62066,0
2/8/20,59270,61896,0
2/15/20,58631,61733,0
2/22/20,59043,61381,0
2/29/20,59449,60940,0
3/7/20,59690,60659,0
3/14/20,58390,60270,0
3/21/20,59101,59940,0
3/28/20,63136,59385,0
4/4/20,72525,58726,0
4/11/20,79415,58258,0
4/18/20,77207,57625,0
4/25/20,74388,57045,0
5/2/20,69818,56381,0
5/9/20,67322,55804,0
5/16/20,65004,55516,0
5/23/20,62113,55130,0
5/30/20,60153,54953,0
6/6/20,59347,54754,0
6/13/20,58555,54545,0
6/20/20,58394,54640,0
6/27/20,58658,54411,0
7/4/20,58552,54257,0
7/11/20,60055,54133,0
7/18/20,60857,53923,0
7/25/20,61022,53908,0
8/1/20,55485,53675,0